"Write a query to get Fullname, Contact, City and House Details of the tenants who have not referred even once",,,,,,
,,,,,,
Ans:,,,,,,
Full Name,Contact Number,City,House Type,BHK Type,Furnishing Type,Address Name
Ankita sharma,9988789656,Pune,Independent,1 BHK,unfurnished,Sun city appartments
anusha pariti,8105987404,bangalore,Independent,4 BHK,fully-furnished,Fella homes
Deepa sudhakar,7896785432,Pune,Independent,3 BHK,fully-furnished,Vinayaka residency
Garima yadav,81059237004,bangalore,Apartment,3 BHK,unfurnished,Zaanz appartment
Kamal gera,8105987404,bangalore,Apartment,3 BHK,semifurnished,Juniper appartments
Manisha Yadav,9867845182,Pune,Independent,2 BHK,fully-furnished,uniworld
Prabhjot gill,9800786688,Pune,Apartment,3 BHK,fully-furnished,Indira society
Rajan pandey,8987647811,Pune,Independent,3 BHK,fully-furnished,Sri Krishna Society
Roosena manuel,9875623345,Delhi,Apartment,3 BHK,fully-furnished,Nestaway building
Shivani godha,9878673428,Delhi,Independent,2 BHK,unfurnished,Barvika Residency
Tushar kapoor,8926537154,bangalore,Apartment,3 BHK,semifurnished,UDB Building
